Block Name,Point ID,vtkOriginalCellIds,mu_t,object_id,Points_0,Points_1,Points_2,Points_Magnitude,pressure,TKE,TKED,vel_0,vel_1,vel_Magnitude,yplus
region,0,45,0.000165524,9,0.0122,-0.0123,0,0.0173243,-283.9,3.26361,6863.23,-4.89002,0.135962,4.89191,25.2747
region,1,56,0.00122413,9,0.0122,-0.0117017,0,0.0169047,-283.578,7.10771,4405.58,-4.24025,0.356839,4.25524,0
region,2,68,0.00167898,9,0.0122,-0.011305,0,0.0166326,-283.124,8.01877,4087.17,-4.02881,0.452592,4.05415,0
region,3,82,0.0020835,9,0.0122,-0.0109083,0,0.0163656,-282.995,8.77647,3945,-3.80897,0.564305,3.85054,0
region,4,98,0.00244353,9,0.0122,-0.0105117,0,0.0161039,-282.996,9.41446,3870.37,-3.58064,0.670617,3.6429,0
region,5,116,0.00276406,9,0.0122,-0.010115,0,0.0158478,-283.033,9.95376,3824.7,-3.3445,0.769516,3.43188,0
region,6,136,0.00304891,9,0.0122,-0.00971833,0,0.0155976,-283.111,10.4074,3790.64,-3.10121,0.862018,3.21878,0
region,7,158,0.00330098,9,0.0122,-0.00932167,0,0.0153536,-283.232,10.7843,3759.36,-2.85145,0.948134,3.00495,0
region,8,182,0.00352246,9,0.0122,-0.008925,0,0.0151161,-283.39,11.091,3726.26,-2.5959,1.02757,2.79189,0
region,9,208,0.00371499,9,0.0122,-0.00852833,0,0.0148853,-283.578,11.3329,3689,-2.33525,1.10011,2.5814,0
region,10,236,0.0038797,9,0.0122,-0.00813167,0,0.0146617,-283.791,11.5147,3646.67,-2.07012,1.16556,2.3757,0
region,11,266,0.00401731,9,0.0122,-0.007735,0,0.0144454,-284.025,11.6407,3599.29,-1.80115,1.22372,2.17753,0
region,12,298,0.00412805,9,0.0122,-0.00733833,0,0.014237,-284.274,11.7152,3547.71,-1.5289,1.27441,1.99039,0
region,13,332,0.00421162,9,0.0122,-0.00694167,0,0.0140366,-284.535,11.7425,3493.56,-1.25384,1.31741,1.8187,0
region,14,368,0.00426706,9,0.0122,-0.006545,0,0.0138447,-284.803,11.7274,3439.32,-0.976324,1.35252,1.66809,0
region,15,406,0.00429251,9,0.0122,-0.00614833,0,0.0136617,-285.075,11.6753,3388.65,-0.696506,1.37947,1.54533,0
region,16,446,0.00428496,9,0.0122,-0.00575167,0,0.0134878,-285.345,11.5928,3346.81,-0.414193,1.39793,1.458,0
region,17,488,0.00423978,9,0.0122,-0.005355,0,0.0133235,-285.611,11.4877,3321.53,-0.128662,1.40747,1.41333,0
region,18,532,0.00415029,9,0.0122,-0.00495833,0,0.0131691,-285.865,11.3706,3324.45,0.161683,1.40746,1.41672,0
region,19,578,0.00400732,9,0.0122,-0.00456167,0,0.0130249,-286.102,11.2555,3373.92,0.459878,1.397,1.47074,0
region,20,626,0.00379938,9,0.0122,-0.004165,0,0.0128914,-286.311,11.1625,3500.43,0.771396,1.37464,1.57629,0
region,21,676,0.00351429,9,0.0122,-0.00376833,0,0.0127687,-286.479,11.1232,3758.2,1.10601,1.33813,1.73604,0
region,22,728,0.00314426,9,0.0122,-0.00337167,0,0.0126573,-286.586,11.191,4251.69,1.48149,1.28372,1.96029,0
region,23,781,0.00269711,9,0.0122,-0.002975,0,0.0125575,-286.604,11.4667,5201.21,1.9314,1.20531,2.27664,0
region,24,835,0.00221395,9,0.0122,-0.00257833,0,0.0124695,-286.513,12.1555,7111.75,2.5215,1.09268,2.74808,0
region,25,890,0.00178029,9,0.0122,-0.00218167,0,0.0123935,-286.313,13.6739,11173.9,3.37862,0.929175,3.50406,0
region,26,946,0.00149308,9,0.0122,-0.001785,0,0.0123299,-286.013,16.7158,19887.5,4.71435,0.694464,4.76522,0
region,27,1003,0.001381,9,0.0122,-0.00138833,0,0.0122787,-285.587,21.906,36872.5,6.78485,0.380759,6.79553,0
