Block Name,Point ID,vtkOriginalCellIds,mu_t,object_id,Points_0,Points_1,Points_2,Points_Magnitude,pressure,TKE,TKED,vel_0,vel_1,vel_Magnitude,yplus
region,0,2701,0.000346103,9,0.07675,-0.0123,0,0.0777294,9.41063,14.2059,62124.5,4.3,-0.109821,4.3014,52.697
region,1,2784,0.00490403,9,0.07675,-0.0117017,0,0.0776369,8.12362,38.2195,31731.2,6.53155,-0.374732,6.54229,0
region,2,2868,0.0060419,9,0.07675,-0.011305,0,0.0775781,5.22385,40.8828,29469.9,6.90691,-0.470509,6.92291,0
region,3,2953,0.00702534,9,0.07675,-0.0109083,0,0.0775213,4.13048,43.5858,28806.8,7.33478,-0.608249,7.35996,0
region,4,3039,0.00785172,9,0.07675,-0.0105117,0,0.0774665,3.60636,46.2526,29025.5,7.80905,-0.746793,7.84468,0
region,5,3126,0.00853508,9,0.07675,-0.010115,0,0.0774137,3.04877,48.8523,29787.6,8.32717,-0.881317,8.37367,0
region,6,3214,0.00909381,9,0.07675,-0.00971833,0,0.0773628,2.51796,51.3616,30903.2,8.88799,-1.01389,8.94563,0
region,7,3303,0.00954568,9,0.07675,-0.00932167,0,0.077314,2.05979,53.7561,32249.6,9.49076,-1.14466,9.55953,0
region,8,3393,0.00990593,9,0.07675,-0.008925,0,0.0772672,1.65919,56.0098,33737.3,10.1347,-1.27309,10.2144,0
region,9,3484,0.0101869,9,0.07675,-0.00852833,0,0.0772224,1.29989,58.0948,35295.3,10.8191,-1.39881,10.9091,0
region,10,3576,0.0103981,9,0.07675,-0.00813167,0,0.0771796,0.9728,59.9821,36862,11.5428,-1.52149,11.6427,0
region,11,3668,0.0105468,9,0.07675,-0.007735,0,0.0771388,0.671066,61.6419,38381.8,12.3049,-1.64083,12.4138,0
region,12,3760,0.0106385,9,0.07675,-0.00733833,0,0.0771,0.388606,63.0441,39802.5,13.104,-1.7565,13.2212,0
region,13,3852,0.0106771,9,0.07675,-0.00694167,0,0.0770633,0.120093,64.1591,41074.5,13.9389,-1.8682,14.0635,0
region,14,3944,0.0106657,9,0.07675,-0.006545,0,0.0770286,-0.139242,64.958,42150.1,14.8081,-1.97563,14.9393,0
region,15,4036,0.0106063,9,0.07675,-0.00614833,0,0.0769959,-0.393851,65.4132,42983.2,15.7101,-2.07846,15.847,0
region,16,4128,0.0105008,9,0.07675,-0.00575167,0,0.0769652,-0.648056,65.4988,43529.7,16.6431,-2.17641,16.7848,0
region,17,4220,0.0103509,9,0.07675,-0.005355,0,0.0769366,-0.906194,65.1915,43748.1,17.6053,-2.26914,17.7509,0
region,18,4312,0.0101578,9,0.07675,-0.00495833,0,0.07691,-1.17274,64.4704,43600,18.5945,-2.35637,18.7432,0
region,19,4404,0.00992327,9,0.07675,-0.00456167,0,0.0768854,-1.45241,63.3185,43051.5,19.6084,-2.43777,19.7593,0
region,20,4496,0.00964886,9,0.07675,-0.004165,0,0.0768629,-1.75016,61.7235,42074.8,20.6441,-2.51306,20.7965,0
region,21,4588,0.00933669,9,0.07675,-0.00376833,0,0.0768425,-2.07127,59.6792,40650.5,21.6984,-2.58193,21.8515,0
region,22,4680,0.00898937,9,0.07675,-0.00337167,0,0.076824,-2.42126,57.1871,38770.2,22.7674,-2.64413,22.9205,0
region,23,4772,0.00861027,9,0.07675,-0.002975,0,0.0768076,-2.80591,54.2591,36440,23.8465,-2.69941,23.9988,0
region,24,4864,0.0082038,9,0.07675,-0.00257833,0,0.0767933,-3.23109,50.9196,33684.1,24.93,-2.7476,25.081,0
region,25,4956,0.00777579,9,0.07675,-0.00218167,0,0.076781,-3.70264,47.2094,30549.5,26.0112,-2.78855,26.1603,0
region,26,5048,0.007334,9,0.07675,-0.001785,0,0.0767708,-4.22602,43.1894,27109.9,27.0819,-2.82224,27.2286,0
region,27,5140,0.00688872,9,0.07675,-0.00138833,0,0.0767626,-4.80629,38.9444,23468.5,28.1322,-2.84875,28.2761,0
region,28,5232,0.00645357,9,0.07675,-0.000991667,0,0.0767564,-5.44806,34.5861,19758.7,29.1502,-2.86835,29.2909,0
region,29,5324,0.00604619,9,0.07675,-0.000595,0,0.0767523,-6.15146,30.2539,16138,30.1221,-2.88152,30.2596,0
region,30,5416,0.00568856,9,0.07675,-0.000198333,0,0.0767503,-6.90519,26.1086,12774.4,31.0328,-2.88877,31.167,0
region,31,5508,0.00531539,9,0.07675,0.0005,0,0.0767516,-8.32408,19.4804,7610.62,32.4936,-2.89218,32.6221,0
region,32,5600,0.00530614,9,0.07675,0.0015238,0,0.0767651,-10.8117,13.5366,3681.46,34.0067,-2.87909,34.1284,0
region,33,5692,0.00565285,9,0.07675,0.00259581,0,0.0767939,-13.4929,10.6071,2121.98,35.086,-2.86582,35.2029,0
region,34,5784,0.00596074,9,0.07675,0.00371717,0,0.07684,-16.2457,9.24929,1530.14,35.9355,-2.85181,36.0485,0
region,35,5876,0.00625335,9,0.07675,0.00488893,0,0.0769056,-19.0525,8.57686,1254.09,36.6803,-2.83396,36.7896,0
region,36,5968,0.00658512,9,0.07675,0.006112,0,0.076993,-21.9044,8.17769,1082.56,37.3655,-2.81153,37.4711,0
region,37,6060,0.00694472,9,0.07675,0.00738718,0,0.0771047,-24.7818,7.87814,952.616,38.0095,-2.78463,38.1114,0
region,38,6152,0.00730933,9,0.07675,0.00871511,0,0.0772432,-27.6676,7.61049,844.603,38.6221,-2.75331,38.7201,0
region,39,6244,0.00766435,9,0.07675,0.0100963,0,0.0774112,-30.5467,7.34979,751.215,39.2086,-2.71769,39.3027,0
region,40,6336,0.00800214,9,0.07675,0.0115309,0,0.0776114,-33.4051,7.08745,669.04,39.7719,-2.67799,39.862,0
region,41,6428,0.00831866,9,0.07675,0.0130191,0,0.0778464,-36.2294,6.82088,596.071,40.3135,-2.63453,40.3994,0
region,42,6520,0.00861171,9,0.07675,0.0145607,0,0.078119,-39.0066,6.54973,530.911,40.834,-2.5876,40.9159,0
region,43,6612,0.0088802,9,0.07675,0.0161554,0,0.0784319,-41.7248,6.27445,472.486,41.3339,-2.53756,41.4117,0
