Block Name,Point ID,vtkOriginalCellIds,mu_t,object_id,Points_0,Points_1,Points_2,Points_Magnitude,pressure,TKE,TKED,vel_0,vel_1,vel_Magnitude,yplus
region,0,6296,0.000301922,9,0.1272,-0.0123,0,0.127793,23.6439,10.8283,41384.8,14.346,-0.028478,14.346,46.0167
region,1,6388,0.00269785,9,0.1272,-0.0117017,0,0.127737,23.3095,21.6478,18514.1,16.797,-0.114756,16.7974,0
region,2,6480,0.00370009,9,0.1272,-0.011305,0,0.127701,22.7678,23.2857,15619,17.2718,-0.151122,17.2725,0
region,3,6572,0.00462072,9,0.1272,-0.0109083,0,0.127667,22.478,24.8635,14259.1,17.7031,-0.197208,17.7042,0
region,4,6664,0.00543812,9,0.1272,-0.0105117,0,0.127634,22.2639,26.3524,13610.2,18.1171,-0.243366,18.1187,0
region,5,6756,0.00615093,9,0.1272,-0.010115,0,0.127602,22.0541,27.7532,13346.1,18.5269,-0.28871,18.5291,0
region,6,6848,0.00676578,9,0.1272,-0.00971833,0,0.127571,21.8604,29.0692,13311.1,18.9396,-0.333514,18.9426,0
region,7,6940,0.007292,9,0.1272,-0.00932167,0,0.127541,21.6878,30.3018,13420,19.3598,-0.377648,19.3635,0
region,8,7032,0.00773931,9,0.1272,-0.008925,0,0.127513,21.5325,31.4502,13620.8,19.79,-0.420912,19.7944,0
region,9,7124,0.0081168,9,0.1272,-0.00852833,0,0.127486,21.3913,32.5114,13878.3,20.2318,-0.463146,20.2371,0
region,10,7216,0.00843251,9,0.1272,-0.00813167,0,0.12746,21.2616,33.4807,14167,20.6864,-0.504216,20.6926,0
region,11,7308,0.00869336,9,0.1272,-0.007735,0,0.127435,21.1412,34.3526,14466.7,21.1543,-0.544,21.1613,0
region,12,7400,0.0089052,9,0.1272,-0.00733833,0,0.127412,21.0279,35.1208,14761,21.6355,-0.582383,21.6433,0
region,13,7492,0.00907297,9,0.1272,-0.00694167,0,0.127389,20.92,35.7787,15035.6,22.13,-0.619262,22.1387,0
region,14,7584,0.00920079,9,0.1272,-0.006545,0,0.127368,20.8156,36.3194,15277.9,22.6375,-0.654544,22.647,0
region,15,7676,0.00929215,9,0.1272,-0.00614833,0,0.127349,20.7131,36.7365,15476.8,23.1575,-0.688142,23.1677,0
region,16,7768,0.00935001,9,0.1272,-0.00575167,0,0.12733,20.6112,37.0236,15622,23.6893,-0.719982,23.7002,0
region,17,7860,0.00937693,9,0.1272,-0.005355,0,0.127313,20.5085,37.1752,15704.6,24.2321,-0.749997,24.2437,0
region,18,7952,0.00937516,9,0.1272,-0.00495833,0,0.127297,20.4036,37.1864,15716.6,24.7851,-0.778129,24.7973,0
region,19,8044,0.00934675,9,0.1272,-0.00456167,0,0.127282,20.2954,37.0533,15651.2,25.3471,-0.80433,25.3599,0
region,20,8136,0.00929363,9,0.1272,-0.004165,0,0.127268,20.1828,36.7731,15503.1,25.917,-0.828561,25.9303,0
region,21,8228,0.00921766,9,0.1272,-0.00376833,0,0.127256,20.0647,36.3445,15268.2,26.4936,-0.850795,26.5072,0
region,22,8320,0.00912071,9,0.1272,-0.00337167,0,0.127245,19.94,35.7677,14944.2,27.0753,-0.871014,27.0893,0
region,23,8412,0.00900475,9,0.1272,-0.002975,0,0.127235,19.8078,35.0447,14530.4,27.6607,-0.889213,27.675,0
region,24,8504,0.00887187,9,0.1272,-0.00257833,0,0.127226,19.6672,34.1794,14028.4,28.2479,-0.9054,28.2624,0
region,25,8596,0.00872436,9,0.1272,-0.00218167,0,0.127219,19.5173,33.1782,13441.8,28.8352,-0.919595,28.8498,0
region,26,8688,0.00856479,9,0.1272,-0.001785,0,0.127213,19.3574,32.0499,12776.5,29.4204,-0.931837,29.4352,0
region,27,8780,0.00839605,9,0.1272,-0.00138833,0,0.127208,19.1866,30.8058,12040.9,30.0014,-0.942179,30.0162,0
region,28,8872,0.00822143,9,0.1272,-0.000991667,0,0.127204,19.004,29.4604,11246,30.5756,-0.950702,30.5904,0
region,29,8964,0.00804467,9,0.1272,-0.000595,0,0.127201,18.8097,28.0311,10404.9,31.1406,-0.9575,31.1553,0
region,30,9056,0.00786998,9,0.1272,-0.000198333,0,0.1272,18.6064,26.5382,9533.07,31.6934,-0.962647,31.7081,0
region,31,9148,0.00758972,9,0.1272,0.0005,0,0.127201,18.2266,23.8341,7973.37,32.64,-0.968963,32.6544,0
region,32,9240,0.00724074,9,0.1272,0.0015238,0,0.127209,17.5692,19.8565,5801.13,33.8954,-0.970529,33.9093,0
region,33,9332,0.00705866,9,0.1272,0.00259581,0,0.127226,16.7871,16.1599,3941.65,35.0251,-0.968469,35.0385,0
region,34,9424,0.00712327,9,0.1272,0.00371717,0,0.127254,15.882,13.1646,2592.32,35.9889,-0.967004,36.0019,0
region,35,9516,0.0074106,9,0.1272,0.00488893,0,0.127294,14.8773,11.0186,1745.71,36.7878,-0.969133,36.8006,0
region,36,9608,0.00779117,9,0.1272,0.006112,0,0.127347,13.8001,9.59692,1259.64,37.4581,-0.975149,37.4708,0
region,37,9700,0.00814258,9,0.1272,0.00738718,0,0.127414,12.6657,8.67361,984.551,38.0446,-0.983616,38.0573,0
